Date : 2019-12-30 11:23:43
Directory : /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run
Total : 89 files,  11200 codes, 2014 comments, 3350 blanks, all 16564 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/IndexMap.h                             | CUDA C++     |        151 |         17 |         36 |        204 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/PoseMatch.h                            | CUDA C++     |         28 |         17 |          6 |         51 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/ComputePack.cpp                | C++          |         39 |         17 |         18 |         74 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/ComputePack.h                  | CUDA C++     |         21 |         17 |          9 |         47 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/FeedbackBuffer.cpp             | C++          |        111 |         17 |         43 |        171 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/FeedbackBuffer.h               | CUDA C++     |         32 |         17 |         12 |         61 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/FillIn.cpp                     | C++          |        123 |         17 |         56 |        196 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/FillIn.h                       | CUDA C++     |         29 |         17 |         11 |         57 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/Resize.cpp                     | C++          |        103 |         17 |         51 |        171 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/Resize.h                       | CUDA C++     |         34 |         17 |         10 |         61 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/Shaders.h                      | CUDA C++     |         77 |         17 |         20 |        114 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/Uniform.h                      | CUDA C++     |         57 |         17 |         15 |         89 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/Vertex.cpp                     | C++          |          2 |         35 |          4 |         41 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Shaders/Vertex.h                       | CUDA C++     |         12 |         17 |          8 |         37 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/CholeskyDecomp.cpp               | C++          |         65 |         17 |         26 |        108 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/CholeskyDecomp.h                 | CUDA C++     |         17 |         17 |          9 |         43 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/DeformationGraph.cpp             | C++          |        762 |         38 |        227 |      1,027 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/DeformationGraph.h               | CUDA C++     |        110 |         33 |         42 |        185 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/GPUConfig.h                      | CUDA C++     |        128 |         20 |         28 |        176 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/GraphNode.h                      | CUDA C++     |         17 |         17 |          6 |         40 |
| /home/guoqing/SLAM/ElasticFusion/ElasticFusion-run/Core/src/Utils/Img.h                            | CUDA C++     |         47 |         17 |         11 |         75 |
